accuracy,loss,val_accuracy,val_loss
0.4111799895763397,1.6062026023864746,0.5691999793052673,1.1905111074447632
0.552619993686676,1.2526702880859375,0.6481999754905701,1.0019619464874268
0.6082000136375427,1.1118249893188477,0.678600013256073,0.9166966080665588
0.6375600099563599,1.0357410907745361,0.7013999819755554,0.8502473831176758
0.6620799899101257,0.9735066890716553,0.70660001039505,0.8495968580245972
0.6779000163078308,0.9281175136566162,0.729200005531311,0.7945064306259155
0.6843000054359436,0.9075091481208801,0.7315999865531921,0.7801758050918579
0.6996200084686279,0.867293655872345,0.7290999889373779,0.7929919958114624
0.7063000202178955,0.8487932085990906,0.7376999855041504,0.7524572014808655
0.7159799933433533,0.8210629820823669,0.7408000230789185,0.7471864819526672
