accuracy,loss,val_accuracy,val_loss
0.4094420373439789,1.6088240146636963,0.5443999767303467,1.2583051919937134
0.5625,1.2281489372253418,0.5544000267982483,1.2209453582763672
0.5494316220283508,1.2611396312713623,0.6169000267982483,1.0838032960891724
0.46875,1.347022533416748,0.6195999979972839,1.0755709409713745
0.6058277487754822,1.1186047792434692,0.6801999807357788,0.9033997058868408
0.5625,1.1934945583343506,0.6827999949455261,0.8910751938819885
0.6392491459846497,1.0313020944595337,0.6884999871253967,0.8883076310157776
0.625,1.0575491189956665,0.6883000135421753,0.8857096433639526
0.6626040935516357,0.9730779528617859,0.7195000052452087,0.8046544194221497
0.6875,0.9637585282325745,0.7196999788284302,0.8091024160385132
