Model,Test Accuracy
VGG19 (CIFAR-10),0.5496000051498413
VGG19 (CIFAR-100),0.3093999922275543
ResNet50 (CIFAR-10),0.3400999903678894
ResNet50 (CIFAR-100),0.07599999755620956
